county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,conditions,uv_index,visibility,wind_bearing,wind_speed
Clark County,Idaho,Summer,Report 63250: ATV rider recalls passing very close to a Bigfoot at dusk in Eight Mile Canyon near Leadore.,44.0555,-112.9954,7/15/2007,63250,Class A,9rzdssp3bk,92.4,78.8,62.9,,,,0.04,,0,,,Partly cloudy throughout the day.,Clear,,,,0
Clark County,Idaho,Fall,Report 50124: Elk hunter has late afternoon sighting near Spencer,44.41131,-112.2873,10/20/2015,50124,Class A,9xbhsuffsk,50,46.3,38.9,43.2,89,80.4,0.25,0.29,100,['rain'],1019.2,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",6,9.3,210.7,11.4
Clearwater County,Idaho,Fall,Report 22651: Multiple witnesses see multiple figures on the edge of a small lake in the Mallard Larkins Roadless Area,46.94,-115.586,9/3/2001,22651,Class A,c2mg1c0v6f,70.6,57.6,51.9,33.7,41,4.2,0.53,,0,,1010.8,Clear conditions throughout the day.,Clear,,10,225.3,9.2
Clearwater County,Idaho,Summer,,,,,8460,Class B,,,,,,,,,,,,,,,,,,
Clearwater County,Idaho,Fall,Report 61107: Archery hunter describes possible stalking incident outside the town of Headquarters,46.75905,-115.8545,11/8/2021,61107,Class B,c2md58jr4q,40.9,32.3,28,28.2,85.3,57.4,0.14,0.005,100,"['rain', 'snow']",1023.3,Partly cloudy throughout the day with early morning snow or rain.,"Snow, Rain, Partially cloudy",4,8.2,101.4,11.7
Custer County,Idaho,Summer,,,,,3085,Class A,,,,,,,,,,,,,,,,,,
Custer County,Idaho,Fall,Report 13717: Possible vocalizations heard by staff at Redfish Lake near Stanley,44.14765,-114.9221,9/1/2001,13717,Class B,9ry70uu68y,78.9,58.2,37.5,35.7,51.6,,0.46,0,0,,1010.4,Partly cloudy throughout the day.,Clear,,9.9,208,15
Custer County,Idaho,Summer,Report 10960: Possible stalking outside a campers' tent in the White Knob mountains,43.79615,-113.8441,8/1/2004,10960,Class B,9rz11kv704,90.8,75.8,60.5,34.1,21.6,50.7,0.53,,0,,,Partly cloudy throughout the day.,Partially cloudy,,26.8,187,14.4
Custer County,Idaho,Summer,Report 56257: River rafter has rocks thrown toward him while hiking near Sheepeater Hot Springs,44.62801,-115.2019,6/6/2013,56257,Class B,9ryjfs2910,77.1,60.4,40.1,36.1,45.6,6.6,0.93,0,0,,1014.3,Clear conditions throughout the day.,Clear,,9.9,315.8,9.5
Idaho County,Idaho,Fall,Report 38287: Dogs alert homeowner to a late night visitor outside Kamiah,46.19614,-141.006,12/4/2013,38287,Class A,bb5wz3f840,50.8,50.1,49.4,43.5,78,93,0.06,0,0,,,Cloudy skies throughout the day.,Overcast,1,,152.8,13
Idaho County,Idaho,Summer,"Report 74987: Footsteps and wood knocks heard near Gospel Lakes, 20 miles south of Grangeville",45.62681,-115.9501,7/19/2019,74987,Class B,c2je96peqv,71.1,58.5,44.1,38.1,49.5,6.3,0.59,0,0,,1014.8,Clear conditions throughout the day.,Clear,10,9.7,11.1,8.8
Kootenai County,Idaho,Summer,,,,,2315,Class B,,,,,,,,,,,,,,,,,,
Kootenai County,Idaho,Fall,,,,,7180,Class A,,,,,,,,,,,,,,,,,,
Kootenai County,Idaho,Fall,Report 15206: Possible tracks found on Buckles Mountain,47.85001,-116.6079,10/6/2005,15206,Class B,c2t04wbdwb,57.4,48.6,41.2,39.9,72.7,26.2,0.12,0.075,100,['rain'],1016.5,Clearing in the afternoon with late afternoon rain.,"Rain, Partially cloudy",,8.6,46.6,15.8
Kootenai County,Idaho,Spring,Report 63726: Camper reports knocks and camp intrusion at Whitetail Campground in Farragut State Park near Athol,47.96905,-116.5499,5/15/2008,63726,Class B,c2t0gu6zyr,76.1,58.6,41.6,45.4,65.3,8.1,0.35,0,0,,1027.8,Clear conditions throughout the day.,Clear,,9.2,127.3,6.5
Kootenai County,Idaho,Summer,Report 30868: Tracks found during a nature ride near Mica Peak.,47.61947,-116.9945,6/15/2010,30868,Class B,c2kycsz5w8,64.2,55.7,47.1,38,52.7,24.8,0.12,0,0,,1013,Partly cloudy throughout the day.,Partially cloudy,,9.9,211.9,12.3
Latah County,Idaho,Summer,,,,,6758,Class A,,,,,,,,,,,,,,,,,,
Latah County,Idaho,Spring,,,,,7993,Class A,,,,,,,,,,,,,,,,,,
Latah County,Idaho,Summer,Report 12913: Long-duration daylight sighting (distant) on Moscow Mountain,46.8102,-116.8368,7/1/2005,12913,Class A,c2kfm3d11j,79.3,68.1,54.7,43.9,45.1,2.1,0.84,0,0,,1012.8,Clear conditions throughout the day.,Clear,,9.9,244.5,16.1
Latah County,Idaho,Winter,Report 57248: Late night road crossing sighting near Potlatch on Hwy 95 spooks woman,46.97822,-116.923,2/15/2011,57248,Class A,c2kg7257bw,43.2,34.9,32.2,32.3,90.5,97,0.42,0.611,100,"['rain', 'snow']",1005.6,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"Snow, Rain, Overcast",,5.3,139.8,19.7
Latah County,Idaho,Fall,Report 67401: Hunter gets spooked by loud knocks 7 miles south of Bovill,46.75473,-116.4292,10/9/2020,67401,Class B,c2m1yx6y51,75.3,61.3,49,43.4,54.1,0,0.75,0,0,,1010.4,Clear conditions throughout the day.,Clear,6,8.8,54.2,7.1
Lemhi County,Idaho,Summer,,,,,2317,Class A,,,,,,,,,,,,,,,,,,
Lemhi County,Idaho,Spring,,,,,4187,Class B,,,,,,,,,,,,,,,,,,
Lemhi County,Idaho,Summer,Report 18050: Series of loud vocalizations from two sources heard in the Yellowjacket Mountains.,44.9625,-114.655,8/1/2000,18050,Class B,9ryrycnv8c,91.5,72.7,53.7,50.1,48.4,60.4,0.05,,0,,,Partly cloudy throughout the day.,Partially cloudy,,9.9,1.1,13.9
Lemhi County,Idaho,Fall,"Report 59343: Father and son experience ""disappearing stump"" on Carmen Creek Road while scouting for deer during the day outside the city of Salmon",45.2704,-113.8186,10/15/2014,59343,Class B,c2p19cpz4q,67.9,51.1,39.2,32.2,50.8,28.8,0.75,0.004,100,['rain'],,Becoming cloudy in the afternoon with afternoon rain.,"Rain, Partially cloudy",5,9.9,251.1,20.8
Madison County,Idaho,Summer,Report 59185: Camper finds possible tracks on a sandbar along Henry's Fork River,43.86739,-111.8617,6/25/2015,59185,Class B,9xb3w9bf16,86,73.9,60.1,43.9,37.3,0,0.3,0,0,,1015.9,Clear conditions throughout the day.,Clear,,9.9,194.9,12.6
Nez Perce County,Idaho,Summer,Report 6391: Camper sees sasquatch across Snake River,45.9978,-116.9156,6/15/1974,6391,Class A,c2hvet8st5,91.1,81.2,64.3,51.9,39.7,30.6,0.86,0,0,,1007.3,Clearing in the afternoon.,Partially cloudy,,28.3,306.4,12.3
Owyhee County,Idaho,Spring,,,,,39086,Class B,,,,,,,,,,,,,,,,,,
Shoshone County,Idaho,Summer,Report 23521: Parked trucker has frightening early morning encounter off I-90 near Wallace,47.509,-115.9965,5/30/1996,23521,Class A,c2mw22tzvx,54.2,46.9,40.1,41.8,83,91.3,0.43,,0,,1014.9,Cloudy skies throughout the day.,Overcast,,8.5,283.9,11.4
Shoshone County,Idaho,Winter,,,,,7864,Class B,,,,,,,,,,,,,,,,,,
Shoshone County,Idaho,Summer,Report 59472: Husband and wife see large upright figure leap from road around midnight on Freezeout Saddle near Clarkia,47.02242,-116.0518,8/7/2006,59472,Class A,c2m7x0jtmn,80,70.6,64.1,34.8,27.1,0,0.45,0,0,,1009.9,Clear conditions throughout the day.,Clear,,9.9,261.1,6.9
Shoshone County,Idaho,Summer,"Report 69141: Camper sighting at night, rocks thrown, on North Fork of Coeur d'Alene River near Enaville",47.61893,-116.2617,8/10/2011,69141,Class A,c2mqfkub65,74.1,62.9,56.2,38.7,42.1,0.2,0.39,0,0,,1008.4,Clear conditions throughout the day.,Clear,,9.9,221.1,10
Shoshone County,Idaho,Summer,"Report 65369: Family hears ""Ohio Howls"" in the historic Marble Creek drainage, 47 mi SE of Coeur dâ€™Alene",47.19253,-116.0776,7/13/2019,65369,Class B,c2mkqx4u7v,73.1,63.7,56,46.1,53.3,20.1,0.39,0.032,100,['rain'],1009.8,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",9,9.7,267.9,6.9
Shoshone County,Idaho,Summer,"Report 65924: Camper hears Wood Knocks, Whoops and has a possible sighting on the St. Joe River",47.23444,-115.6292,8/8/2020,65924,Class B,c2mu8yc2s3,59,52.6,47.9,36.6,54.7,53.7,0.67,0,0,,1014.7,Partly cloudy throughout the day.,Partially cloudy,8,9.9,252.8,8.1
Shoshone County,Idaho,Fall,"Report 71799: Local couple hear loud knocks from different directions in Coeur d' Alene Mountains, 5 miles north of Osburn",47.5405,-115.947,11/1/2021,71799,Class B,c2mw3w3zrp,38,30.2,23.2,19.9,65.6,6.1,0.9,0,0,,1021.3,Clear conditions throughout the day.,Clear,5,9.9,123.1,16.7
Bonner County,Idaho,Summer,Report 1801: Close daylight sighting of animal crossing road near Spirit Lake,47.95614,-116.7787,7/29/1967,1801,Class A,c2sbydhkg0,43.8,40.3,32.6,36.6,86.9,86.7,0.47,0.003,100,['rain'],1022.7,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",,8.9,198.5,14.2
Boise County,Idaho,Summer,Report 15416: Possible vocalizations heard by campers near Lowman,44.14555,-115.3106,6/19/2004,15416,Class B,9ry50h3qkq,64.5,50.4,37.5,37.7,66.9,,0.06,0.13,100,['rain'],1017,Partly cloudy throughout the day with early morning rain.,Rain,,,153,6.9
Bingham County,Idaho,Fall,,,,,57872,Class B,,,,,,,,,,,,,,,,,,
Benewah County,Idaho,Fall,Report 15120: Man describes daylight sighting by father (elk hunter) near Clarkia,47.0615,-116.322,10/1/1972,15120,Class B,c2m79p2chg,0,,0,,,,0.8,,,,,,,,,,
Bear Lake County,Idaho,Summer,,,,,1795,Class B,,,,,,,,,,,,,,,,,,
Adams County,Idaho,Spring,,,,,2063,Class A,,,,,,,,,,,,,,,,,,
Winnebago County,Illinois,Fall,Report 19910: Nighttime sighting by property owner near Kishwaukee River.,42.1846,-89.022,10/22/1994,19910,Class A,dp2xyr2pj5,71.9,56.7,43.1,46.4,73,35,0.61,0.051,100,['rain'],1009.7,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,13,216.6,18.3
Will County,Illinois,Fall,Report 42140: Hiker has daylight sighting in Goodenow Grove Nature Preserve,41.40762,-87.60593,10/10/2009,42140,Class A,dp3ew6p2cg,49.3,40.4,31.8,32,74,27.1,0.73,0,0,,1022.6,Partly cloudy throughout the day.,Partially cloudy,,9.6,283.7,12.2
Whiteside County,Illinois,Winter,Report 12919: Youth has nighttime sighting along Rock River,41.6,-90.1,11/15/1986,12919,Class B,9zruttp1tf,44,33.8,23.1,21,60.4,68.8,0.47,0,0,,1016.9,Partly cloudy throughout the day.,Partially cloudy,,11.2,200.3,13.9
White County,Illinois,Fall,,,,,29360,Class B,,,,,,,,,,,,,,,,,,
Washington County,Illinois,Spring,Report 57303: Memory told of a sighting on a farm near Nashville,38.33912,-89.35323,5/18/2000,57303,Class A,dnb6neqvwc,77.1,74.7,71.7,66,74.8,31.7,0.5,,0,,,Partly cloudy throughout the day.,Partially cloudy,,9.9,201,25.3
Warren County,Illinois,Summer,Report 47249: Motorist has dusk sighting west of Galesburg,40.9474,-90.4429,1/12/2015,47249,Class A,9zr8vyjrzs,28.1,14.7,-1.5,9,78.4,22.2,0.75,0.012,100,['snow'],1034.6,Partly cloudy throughout the day with early morning snow.,"Snow, Partially cloudy",,9.1,345.1,16.3
Wabash County,Illinois,Fall,Report 37856: Close encounter at night by a motorist near Mt.Carmel,38.37945,-87.79079,10/19/2010,37856,Class A,dncd66b8w2,67.3,55.9,45.4,36.9,53.4,18.5,0.39,0,0,,1015.2,Clear conditions throughout the day.,Clear,,9.8,14,9.5
Wabash County,Illinois,Summer,Report 43148: Hiker has close daylight sighting in Beall Woods State Park,38.354,-87.8572,10/23/2013,43148,Class A,dncd0y0k4z,49.3,44.3,39,34.2,68.7,84.7,0.65,0,0,,1017.1,Partly cloudy throughout the day.,Partially cloudy,,9.9,296.4,17.1
Vermilion County,Illinois,Fall,"Report 15844: Possible sounds heard, etc., in Kickapoo State Park",40.1527,-87.7424,10/1/2005,15844,Class B,dp1s7mefmv,78.4,61.4,46.1,48.2,67.4,0,0.94,0,0,,1020.2,Clear conditions throughout the day.,Clear,,7.8,188.7,7.9
Vermilion County,Illinois,Fall,Report 55144: Hunter describes strange encounters and finds a possible footprint near Kickapoo State Park,40.09169,-87.71541,11/12/2015,55144,Class B,dp1s5frx4b,58,48.3,43.1,39,70.3,57.4,0.04,0.002,100,['rain'],,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",5,9.9,253.3,33
Washington County,Illinois,Summer,,,,,24766,Class A,,,,,,,,,,,,,,,,,,
Washington County,Illinois,Fall,,,,,38295,Class B,,,,,,,,,,,,,,,,,,
Washington County,Illinois,Fall,Report 50502: Possible sighting while hunting near Radom,38.27372,-89.21439,11/12/2013,50502,Class B,dnb99zs0d4,36.2,31.2,22.5,21.8,68.8,32.1,0.33,0.003,100,['rain'],,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",6,9.8,351.9,13.8
White County,Illinois,Spring,Report 49954: Memory told of encounter at a remote cabin at Sandy Run,37.9308,-88.362,10/11/2015,49954,Class A,dn9pv30fbj,76,57.7,41.4,47.3,73.3,16,0.96,0,0,,999.4,Clear conditions throughout the day.,Clear,7,7.8,213.4,11.3
Whiteside County,Illinois,Spring,Report 29287: Memory told of a daylight sighting as a youth near Fenton,41.7584,-90.0795,4/7/2000,29287,Class A,9zrvw1yh79,48.8,40.5,28.7,28.7,65.8,88.2,0.11,0.226,100,"['rain', 'snow']",1009.4,Partly cloudy throughout the day with rain or snow.,"Snow, Rain, Partially cloudy",,6.7,32.8,27
Whiteside County,Illinois,Summer,Report 10037: Youth has daylight sighting in corn field near Rock Falls.,41.7798,-89.689,12/22/2004,10037,Class A,dp2jxjf2yz,10.6,7.4,2.2,-3.1,61.8,43.1,0.37,0,0,,1026.6,Partly cloudy throughout the day.,Partially cloudy,,9.9,327.7,15
Whiteside County,Illinois,Winter,Report 33264: Photos taken of possible footprints found on rural property near Albany,41.73534,-90.22054,1/23/2012,33264,Class B,9zrv6vxmvp,38.2,31.5,26.8,26.9,83,100,0,0.018,100,"['rain', 'snow']",1003.7,Cloudy skies throughout the day with rain or snow clearing later.,"Snow, Rain, Overcast",,6,270,26.6
Whiteside County,Illinois,Fall,Report 44649: Memory told of a daytime sighting on a farm south of Rock Falls,41.72264,-89.80784,5/12/2014,44649,Class A,dp2jk77gvx,87.4,74.5,64.5,66,76.6,50.3,0.43,0.143,100,['rain'],,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",3,9.3,207,18.1
Whiteside County,Illinois,Winter,Report 71815: Law enforcement officers find and follow fresh snow tracks 33 miles NE of Moline,41.71918,-89.91718,2/14/2018,71815,Class B,dp2j3fsrcf,40.1,28.8,12.9,26.3,90.8,30.7,0.96,0,0,,1018.7,Becoming cloudy in the afternoon.,Partially cloudy,6,3.6,209.4,10.4
Will County,Illinois,Fall,Report 47911: Memory told of a nighttime road crossing near Coal City,41.34693,-88.23882,1/22/2017,47911,Class A,dp370nfrq6,44.5,39.9,34.7,38.8,95.8,93.8,0.83,0,0,,,Cloudy skies throughout the day.,Overcast,3,4,359,7.4
Williamson County,Illinois,Summer,Report 3467: Witnesses describe 'huge' black creature that throws dirt at them near Chittyville.,37.846,-89.0111,8/15/1968,3467,Class C,dn8xq98hgj,44.5,39.9,34.7,38.8,95.8,93.8,0.83,0,0,,,Cloudy skies throughout the day.,Overcast,3,4,359,7.4
Williamson County,Illinois,Winter,"Report 15895: Possible vocalization heard in Marion, Illinois",37.72735,-88.9487,12/31/1977,15895,Class B,dn8wxuj99p,42.2,38.9,35.3,36.6,91.4,100,0.71,,0,,1019.8,Cloudy skies throughout the day.,Overcast,,2.3,88.4,9.2
Williamson County,Illinois,Summer,Report 15393: Woman describes her son's possible sighting near Lake of Egypt in Shawnee National Forest,37.61095,-88.9319,7/28/2006,15393,Class B,dn8vbqcg8t,87,79.3,74.2,73.2,81.9,64.9,0.12,0.041,100,['rain'],1015.8,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,9.2,226.3,11.4
Adams County,Idaho,Fall,Report 4987: Deputy sheriff has vehicle near miss with nine foot tall biped,44.85,-116.4,10/31/1990,4987,Class A,9rvppk8n5m,56,39.9,32.1,33.7,83.1,100,0.43,,0,,,Cloudy skies throughout the day.,Overcast,,5,210.8,16.1
Adams County,Idaho,Fall,Report 65779: Hunter describes trailer shaking then scream/howl outside Council on boundary of Payette NF and Boise NF,44.45853,-116.2853,10/7/2009,65779,Class B,9rvkcv7tsn,51.3,38.2,25.3,28.4,71.5,32.9,0.62,0,0,,1017.4,Partly cloudy throughout the day.,Partially cloudy,,9.4,305.8,8.8
Bear Lake County,Idaho,Fall,Report 28709: Several years later bowhunter confirms sighting of Bigfoot family east of Montpelier,42.5149,-111.1241,9/11/1982,28709,Class A,9x8cz79ghz,0,,0,,,,0.79,,,,,,,,,,
Bear Lake County,Idaho,Fall,Report 1796: Elk hunter observes an apparent family group,42.5149,-111.1241,9/4/1983,1796,Class A,9x8cz79ghz,0,,0,,,,0.92,,,,,,,,,,
Bear Lake County,Idaho,Summer,Report 28386: Camper and his three dogs hear possible vocalizations and cut camping trip short in Beaver Creek,42.35635,-111.5212,6/21/2003,28386,Class B,9x88yq8xxe,68.1,57.3,48.3,46.1,70.2,47,0.75,0.52,100,['rain'],1006.5,Partly cloudy throughout the day with morning rain.,"Rain, Partially cloudy",,9.5,315.8,18.3
Benewah County,Idaho,Summer,Report 67192: Wood Knocks and Vocalizations are heard then something hits the side of a remote cabin,47.23455,-116.7369,10/15/2020,67192,Class B,c2kuxwfc1n,53.9,42.5,32.2,33.2,73.1,29.1,0.97,0,0,,1033.8,Partly cloudy throughout the day.,Partially cloudy,5,9.6,267,9.8
Boise County,Idaho,Summer,Report 29357: Husband and wife riding ATV's along the Payette River see a Bigfoot,44.28265,-115.8714,6/13/2009,29357,Class A,9rvegm3j0s,61.9,51.1,40.5,44.2,78.6,78.8,0.7,0.063,100,['rain'],1011.5,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,9.8,133.8,10
Boise County,Idaho,Fall,Report 29020: Couple describes incidents at two different campgrounds in Boise National Forest,44.35978,-115.8596,11/1/2009,29020,Class B,9rvs7e3w7w,46.1,35.6,26.4,29.1,79.5,52,0.47,0,0,,1023.5,Partly cloudy throughout the day.,Partially cloudy,,9.6,322.1,8.3
Bonner County,Idaho,Fall,Report 10510: Logger and granddaughter have brief sighting in the Selkirk Mountains,48.1143,-116.0558,10/18/1969,10510,Class A,c2t3xnfwpg,46.1,35.6,26.4,29.1,79.5,52,0.47,0,0,,1023.5,Partly cloudy throughout the day.,Partially cloudy,,9.6,322.1,8.3
Bonner County,Idaho,Summer,Report 5767: Multiple sightings by northern Idaho family,48.43443,-116.667,3/15/1976,5767,Class A,c2t591jxjb,0,,0,,,,0.5,,,,,,,,,,
Bonner County,Idaho,Fall,Report 25156: Very close daylight sighting by a woodcutter driving down a logging road east of Nordman,48.6334,-116.934,10/28/1980,25156,Class A,c2suej7q06,0,,0,,,,0.67,,,,,,,,,,
Bonner County,Idaho,Summer,Report 20802: Woman picking berries with family has daylight sighting near Clark Fork,48.255,-116.1475,8/15/1985,20802,Class A,c2t6sbxcxp,73.1,65.9,60.2,46.7,51.3,84.3,0.98,,0,,,Partly cloudy throughout the day.,Partially cloudy,,19.9,3.3,23
Bonner County,Idaho,Fall,Report 26487: Man remembers his nighttime sighting at Bloom Lake north of Sandpoint,48.49805,-116.4171,10/31/1993,26487,Class A,c2t5yug9sg,53.7,41.6,35.7,33.5,73.5,,0.54,,0,,1016.7,Partly cloudy throughout the day.,Clear,,,119.2,6.7
Bonner County,Idaho,Spring,,,,,2059,Class A,,,,,,,,,,,,,,,,,,
Bonner County,Idaho,Winter,Report 20221: Winter hikers find trail of footprints near Clark Fork,48.25206,-116.0969,12/31/2000,20221,Class B,c2t6w0hbd5,30.3,29.9,28.5,28.3,93.8,100,0.2,,0,,,Cloudy skies throughout the day.,Overcast,,9,198.5,9.2
Bonner County,Idaho,Winter,"Report 13828: Possible tracks found outside Clark Fork, near Spring Creek Road",48.15585,-116.1842,2/10/2006,13828,Class B,c2t3unt0pv,39.3,30.6,24.9,12.7,48.1,0,0.42,0,0,,,Clear conditions throughout the day.,Clear,,9.9,26.8,13.4
Bonner County,Idaho,Fall,"Report 24693: Rock banging, footprints and strange stripped tree on high mountain ranch near Sandpoint",48.33,-116.71,8/19/2008,24693,Class B,c2t4bnnqeu,69.9,64.7,55.7,53.1,66.8,52.5,0.6,0,0,,,Partly cloudy throughout the day.,Partially cloudy,,9.9,218.2,12.5
Bonner County,Idaho,Fall,Report 42647: Hunter finds possible footprints and knuckle prints near Priest Lake,48.74915,-116.8415,11/2/2013,42647,Class B,c2svm4w87s,42.3,39.6,37,36.7,89.5,80.2,0.98,0.815,100,['rain'],1007,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"Rain, Partially cloudy",1,5.8,140.8,12.2
Bonner County,Idaho,Fall,Report 56270: Hunter finds broken turtle shells and hears possible vocalizations near Coolin,48.43676,-116.9137,10/24/2014,56270,Class B,c2sge9dh96,52.6,47,42,40.2,77.6,56.4,0.03,0.004,100,['rain'],1018.1,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,9.9,323.1,8.4
Bonner County,Idaho,Winter,Report 56861: Visitor to a ranch has evening sighting near Priest River,48.1964,-116.99,12/26/2015,56861,Class A,c2sf1vfkrk,27.3,24.8,20.3,21.2,86.2,94.7,0.54,0,0,,1036.2,Cloudy skies throughout the day.,Overcast,,9.6,30.5,6.3
Bonner County,Idaho,Summer,,,,,56490,Class A,,,,,,,,,,,,,,,,,,
Bonner County,Idaho,Summer,"Report 58026: Hikers find footprints, possible nest and hear wood knocks mid-day near Coolin",48.75694,-116.7338,8/5/2017,58026,Class B,c2svrevjc2,86.1,74.7,64.3,45.4,36.4,0,0.44,0,0,,1013,Clear conditions throughout the day.,Clear,,9.8,20.9,8.8
Bonner County,Idaho,Fall,"Report 58251: Wife and husband find tracks, have afternoon sighting near Hellroaring Ridge.",48.45359,-116.6339,9/22/2017,58251,Class A,c2t59uty95,58.4,46.7,33.3,34.7,66.8,40.6,0.08,0,0,,1018.3,Becoming cloudy in the afternoon.,Partially cloudy,,9.8,27.5,12.3
Bonner County,Idaho,Fall,"Report 65276: Husband and wife hear vocals while making camp at dark, near Priest Lake.",48.73665,-116.8596,10/7/2017,65276,Class B,c2svkb1rtf,57.7,50.8,41.5,31.9,50.6,63.5,0.57,0,0,,1007.4,Partly cloudy throughout the day.,Partially cloudy,,9.8,285.3,9.6
Bonner County,Idaho,Spring,Report 64180: Logger hears long roaring howls on the same property large tracks had been discovered.,48.22407,-116.8768,2/15/2020,64180,Class B,c2sfk6uvt4,40.1,35,31.9,29.8,81.5,85.9,0.75,0.115,100,"['rain', 'snow']",1018.1,Partly cloudy throughout the day with late afternoon rain or snow.,"Snow, Rain, Partially cloudy",2,8.6,196.4,13.1
Stephenson County,Illinois,Fall,Report 15347: Deer hunter has early morning sighting from tree stand near Pearl City,42.21,-89.85,10/26/2003,15347,Class A,dp805kj5p6,40.2,37.4,33.9,31.1,77.9,83.8,0.04,0,0,,1022,Partly cloudy throughout the day.,Partially cloudy,,9.9,286.4,11.8
Shelby County,Illinois,Fall,Report 42794: Memory told of a nighttime highway crossing near Stewardson,39.2372,-88.61966,9/28/1998,42794,Class A,dnbzpqvjk2,87.9,70.8,57.3,57.2,65.9,37.1,0.25,,0,,,Partly cloudy throughout the day.,Partially cloudy,,10.2,51.6,9.2
Schuyler County,Illinois,Winter,Report 40457: Memory told of a close encounter by motorists just north of Rushville,40.25679,-90.59952,1/9/2000,40457,Class A,9zpt42e2y1,46.8,44,42.1,39,82.5,99.5,0.1,,0,,1005.4,Cloudy skies throughout the day.,Overcast,,5.1,172.7,10
Rock Island County,Illinois,Summer,Report 24147: Creature seen at a flooded rock quarry near Hampton,41.55965,-90.40675,9/1/1969,24147,Class A,9zrsqtxyd0,46.8,44,42.1,39,82.5,99.5,0.1,,0,,1005.4,Cloudy skies throughout the day.,Overcast,,5.1,172.7,10
Randolph County,Illinois,Summer,Report 42547: Woman recalls her possible encounter on a farm outside Prairie du Rocher.,38.09052,-90.06338,6/8/1973,42547,Class B,9yzbww1v75,84.6,74.8,61.3,61.7,65.7,22.9,0.26,0,0,,1018,Partly cloudy throughout the day.,Partially cloudy,,9.5,193.7,11.8
Putnam County,Illinois,Fall,Report 27374: Man remembers his daytime sighting as a youth living south of Hennepin,41.2285,-89.3211,11/29/1986,27374,Class A,dp26x3qm7t,37.1,34.9,32.1,34.4,98.2,100,0.94,0,0,,1022.1,Cloudy skies throughout the day.,Overcast,,1,142.2,12.8
Pulaski County,Illinois,Fall,Report 24544: Motorist has a nighttime sighting near Karnak.,37.289,-88.9963,10/2/1999,24544,Class A,dn8snu6b5v,80.9,61.9,43.1,41.1,53.9,0,0.76,0,0,,1017.6,Clear conditions throughout the day.,Clear,,9.8,329.7,11.6
Pope County,Illinois,Fall,Report 25704: Cougar research interrupted by wood knocks at Bell Smith Springs,37.52127,-88.65912,9/22/2007,25704,Class B,dn8vqw83hz,91.6,75.2,60,57.5,59.3,9.5,0.37,0.002,100,['rain'],1017.1,Clear conditions throughout the day with morning rain.,Rain,,8.7,145.5,5.3
Pike County,Illinois,Fall,Report 24354: Hunter has sighting from his deer stand near Detroit,39.607,-90.64,11/16/2007,24354,Class A,9zp936jzqz,53.7,41.2,30.5,23.7,53.3,0,0.23,0,0,,1015.4,Clear conditions throughout the day.,Clear,,9.9,178.9,15.6
Piatt County,Illinois,Unknown,Report 47469: Memory told of possible vocalizations and footprints found near Atwood,39.8352,-88.47835,1/2/2015,47469,Class B,dp14deu0c5,37.9,31.7,24.5,23.8,72.9,59.4,0.41,0.016,100,"['rain', 'snow']",1025,Partly cloudy throughout the day with late afternoon rain or snow.,"Snow, Rain, Partially cloudy",,9.5,182.4,8.3
Perry County,Illinois,Winter,Report 3300: Trapper recalls large footprints he found while trapping near Pinckneyville.,38.04813,-89.30435,12/6/1975,3300,Class B,dnb2ry6w3v,56,43.3,35,39.3,86,94.9,0.12,0,0,,1026.5,Cloudy skies throughout the day.,Overcast,,7.4,358.6,21.2
Peoria County,Illinois,Fall,Report 28429: Deer hunter has sighting at dusk near Jubilee College State Park,40.82944,-89.73378,10/27/2007,28429,Class A,dp20q0cber,59.9,52.4,41.1,40.9,67.7,57.4,0.55,0.04,100,['rain'],1025.2,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,6.8,313.7,13
Peoria County,Illinois,Spring,Report 27692: Mushroom hunter hears vocalizations and finds footprints near Jubilee College State Park,40.82944,-89.73378,5/5/2010,27692,Class B,dp20q0cber,71.4,63.6,56.8,41.6,47.5,16.4,0.75,0,0,,1009.5,Clear conditions throughout the day.,Clear,,9.9,287.8,16.9
Peoria County,Illinois,Summer,Report 30510: Possible footprint found near Peoria,40.8365,-89.599,8/14/2011,30510,Class B,dp22345czg,80.3,70.6,62.9,59.6,70.8,15.7,0.53,0,0,,1015,Clear conditions throughout the day.,Clear,,9.7,355.3,11.1
